word,comparative,superlative,adverb,nom_sg_masc,gen_sg_masc,dat_sg_masc,acc_sg_masc,abl_sg_masc,nom_sg_fem,gen_sg_fem,dat_sg_fem,acc_sg_fem,abl_sg_fem,nom_sg_neut,gen_sg_neut,dat_sg_neut,acc_sg_neut,abl_sg_neut,nom_pl_masc,gen_pl_masc,dat_pl_masc,acc_pl_masc,abl_pl_masc,nom_pl_fem,gen_pl_fem,dat_pl_fem,acc_pl_fem,abl_pl_fem,nom_pl_neut,gen_pl_neut,dat_pl_neut,acc_pl_neut,abl_pl_neut
honoriger,honorigerior,honorigerrimus,honorigere,honoriger,honorigeri,honorigero,honorigerum,honorigero,honorigera,honorigerae,honorigerae,honorigeram,honorigera,honorigerum,honorigeri,honorigero,honorigerum,honorigero,honorigeri,honorigerorum,honorigeris,honorigeros,honorigeris,honorigerae,honorigerarum,honorigeris,honorigeras,honorigeris,honorigera,honorigerorum,honorigeris,honorigera,honorigeris
laniger,lanigerior,lanigerrimus,lanigere,laniger,lanigeri,lanigero,lanigerum,lanigero,lanigera,lanigerae,lanigerae,lanigeram,lanigera,lanigerum,lanigeri,lanigero,lanigerum,lanigero,lanigeri,lanigerorum,lanigeris,lanigeros,lanigeris,lanigerae,lanigerarum,lanigeris,lanigeras,lanigeris,lanigera,lanigerorum,lanigeris,lanigera,lanigeris
pinniger,pinnigerior,pinnigerrimus,pinnigere,pinniger,pinnigeri,pinnigero,pinnigerum,pinnigero,pinnigera,pinnigerae,pinnigerae,pinnigeram,pinnigera,pinnigerum,pinnigeri,pinnigero,pinnigerum,pinnigero,pinnigeri,pinnigerorum,pinnigeris,pinnigeros,pinnigeris,pinnigerae,pinnigerarum,pinnigeris,pinnigeras,pinnigeris,pinnigera,pinnigerorum,pinnigeris,pinnigera,pinnigeris
pistriger,pistrigerior,pistrigerrimus,pistrigere,pistriger,pistrigeri,pistrigero,pistrigerum,pistrigero,pistrigera,pistrigerae,pistrigerae,pistrigeram,pistrigera,pistrigerum,pistrigeri,pistrigero,pistrigerum,pistrigero,pistrigeri,pistrigerorum,pistrigeris,pistrigeros,pistrigeris,pistrigerae,pistrigerarum,pistrigeris,pistrigeras,pistrigeris,pistrigera,pistrigerorum,pistrigeris,pistrigera,pistrigeris
piniger,pinigerior,pinigerrimus,pinigere,piniger,pinigeri,pinigero,pinigerum,pinigero,pinigera,pinigerae,pinigerae,pinigeram,pinigera,pinigerum,pinigeri,pinigero,pinigerum,pinigero,pinigeri,pinigerorum,pinigeris,pinigeros,pinigeris,pinigerae,pinigerarum,pinigeris,pinigeras,pinigeris,pinigera,pinigerorum,pinigeris,pinigera,pinigeris
plantiger,plantigerior,plantigerrimus,plantigere,plantiger,plantigeri,plantigero,plantigerum,plantigero,plantigera,plantigerae,plantigerae,plantigeram,plantigera,plantigerum,plantigeri,plantigero,plantigerum,plantigero,plantigeri,plantigerorum,plantigeris,plantigeros,plantigeris,plantigerae,plantigerarum,plantigeris,plantigeras,plantigeris,plantigera,plantigerorum,plantigeris,plantigera,plantigeris
pelliger,pelligerior,pelligerrimus,pelligere,pelliger,pelligeri,pelligero,pelligerum,pelligero,pelligera,pelligerae,pelligerae,pelligeram,pelligera,pelligerum,pelligeri,pelligero,pelligerum,pelligero,pelligeri,pelligerorum,pelligeris,pelligeros,pelligeris,pelligerae,pelligerarum,pelligeris,pelligeras,pelligeris,pelligera,pelligerorum,pelligeris,pelligera,pelligeris
penniger,pennigerior,pennigerrimus,pennigere,penniger,pennigeri,pennigero,pennigerum,pennigero,pennigera,pennigerae,pennigerae,pennigeram,pennigera,pennigerum,pennigeri,pennigero,pennigerum,pennigero,pennigeri,pennigerorum,pennigeris,pennigeros,pennigeris,pennigerae,pennigerarum,pennigeris,pennigeras,pennigeris,pennigera,pennigerorum,pennigeris,pennigera,pennigeris
plagiger,plagigerior,plagigerrimus,plagigere,plagiger,plagigeri,plagigero,plagigerum,plagigero,plagigera,plagigerae,plagigerae,plagigeram,plagigera,plagigerum,plagigeri,plagigero,plagigerum,plagigero,plagigeri,plagigerorum,plagigeris,plagigeros,plagigeris,plagigerae,plagigerarum,plagigeris,plagigeras,plagigeris,plagigera,plagigerorum,plagigeris,plagigera,plagigeris
roriger,rorigerior,rorigerrimus,rorigere,roriger,rorigeri,rorigero,rorigerum,rorigero,rorigera,rorigerae,rorigerae,rorigeram,rorigera,rorigerum,rorigeri,rorigero,rorigerum,rorigero,rorigeri,rorigerorum,rorigeris,rorigeros,rorigeris,rorigerae,rorigerarum,rorigeris,rorigeras,rorigeris,rorigera,rorigerorum,rorigeris,rorigera,rorigeris
