word,comparative,superlative,adverb,nom_sg_masc,gen_sg_masc,dat_sg_masc,acc_sg_masc,abl_sg_masc,nom_sg_fem,gen_sg_fem,dat_sg_fem,acc_sg_fem,abl_sg_fem,nom_sg_neut,gen_sg_neut,dat_sg_neut,acc_sg_neut,abl_sg_neut,nom_pl_masc,gen_pl_masc,dat_pl_masc,acc_pl_masc,abl_pl_masc,nom_pl_fem,gen_pl_fem,dat_pl_fem,acc_pl_fem,abl_pl_fem,nom_pl_neut,gen_pl_neut,dat_pl_neut,acc_pl_neut,abl_pl_neut
ater,atrior,aterrimus,atre,ater,atri,atro,atrum,atro,atra,atrae,atrae,atram,atra,atrum,atri,atro,atrum,atro,atri,atrorum,atris,atros,atris,atrae,atrarum,atris,atras,atris,atra,atrorum,atris,atra,atris
digitatus,digitatior,digitatissimus,digitate,digitatus,digitati,digitato,digitatum,digitato,digitata,digitatae,digitatae,digitatam,digitata,digitatum,digitati,digitato,digitatum,digitato,digitati,digitatorum,digitatis,digitatos,digitatis,digitatae,digitatarum,digitatis,digitatas,digitatis,digitata,digitatorum,digitatis,digitata,digitatis
hilarus,hilarior,hilarissimus,hilare,hilarus,hilari,hilaro,hilarum,hilaro,hilara,hilarae,hilarae,hilaram,hilara,hilarum,hilari,hilaro,hilarum,hilaro,hilari,hilarorum,hilaris,hilaros,hilaris,hilarae,hilararum,hilaris,hilaras,hilaris,hilara,hilarorum,hilaris,hilara,hilaris
gracilentus,gracilentior,gracilentissimus,gracilente,gracilentus,gracilenti,gracilento,gracilentum,gracilento,gracilenta,gracilentae,gracilentae,gracilentam,gracilenta,gracilentum,gracilenti,gracilento,gracilentum,gracilento,gracilenti,gracilentorum,gracilentis,gracilentos,gracilentis,gracilentae,gracilentarum,gracilentis,gracilentas,gracilentis,gracilenta,gracilentorum,gracilentis,gracilenta,gracilentis
unicornis,unicornior,unicornissimus,unicorniter,unicornis,unicornis,unicorni,unicornem,unicorni,unicornis,unicornis,unicorni,unicornem,unicorni,unicorne,unicornis,unicorni,unicorne,unicorni,unicornes,unicornium,unicornibus,unicornis,unicornibus,unicornes,unicornium,unicornibus,unicornis,unicornibus,unicornia,unicornium,unicornibus,unicornia,unicornibus
cornutus,cornutior,cornutissimus,cornute,cornutus,cornuti,cornuto,cornutum,cornuto,cornuta,cornutae,cornutae,cornutam,cornuta,cornutum,cornuti,cornuto,cornutum,cornuto,cornuti,cornutorum,cornutis,cornutos,cornutis,cornutae,cornutarum,cornutis,cornutas,cornutis,cornuta,cornutorum,cornutis,cornuta,cornutis
audax,audacior,audacissimus,audaciter,audax,audacis,audaci,audacem,audaci,audax,audacis,audaci,audacem,audaci,audax,audacis,audaci,audax,audaci,audaces,audacium,audacibus,audaces,audacibus,audaces,audacium,audacibus,audaces,audacibus,audacia,audacium,audacibus,audacia,audacibus
creber,crebrior,creberrimus,crebre,creber,crebri,crebro,crebrum,crebro,crebra,crebrae,crebrae,crebram,crebra,crebrum,crebri,crebro,crebrum,crebro,crebri,crebrorum,crebris,crebros,crebris,crebrae,crebrarum,crebris,crebras,crebris,crebra,crebrorum,crebris,crebra,crebris
sensificus,sensificior,sensificissimus,sensifice,sensificus,sensifici,sensifico,sensificum,sensifico,sensifica,sensificae,sensificae,sensificam,sensifica,sensificum,sensifici,sensifico,sensificum,sensifico,sensifici,sensificorum,sensificis,sensificos,sensificis,sensificae,sensificarum,sensificis,sensificas,sensificis,sensifica,sensificorum,sensificis,sensifica,sensificis
sensatus,sensatior,sensatissimus,sensate,sensatus,sensati,sensato,sensatum,sensato,sensata,sensatae,sensatae,sensatam,sensata,sensatum,sensati,sensato,sensatum,sensato,sensati,sensatorum,sensatis,sensatos,sensatis,sensatae,sensatarum,sensatis,sensatas,sensatis,sensata,sensatorum,sensatis,sensata,sensatis
sexagenarius,sexagenariior,sexagenariissimus,sexagenarie,sexagenarius,sexagenarii,sexagenario,sexagenarium,sexagenario,sexagenaria,sexagenariae,sexagenariae,sexagenariam,sexagenaria,sexagenarium,sexagenarii,sexagenario,sexagenarium,sexagenario,sexagenarii,sexagenariorum,sexagenariis,sexagenarios,sexagenariis,sexagenariae,sexagenariarum,sexagenariis,sexagenarias,sexagenariis,sexagenaria,sexagenariorum,sexagenariis,sexagenaria,sexagenariis
septuagenarius,septuagenariior,septuagenariissimus,septuagenarie,septuagenarius,septuagenarii,septuagenario,septuagenarium,septuagenario,septuagenaria,septuagenariae,septuagenariae,septuagenariam,septuagenaria,septuagenarium,septuagenarii,septuagenario,septuagenarium,septuagenario,septuagenarii,septuagenariorum,septuagenariis,septuagenarios,septuagenariis,septuagenariae,septuagenariarum,septuagenariis,septuagenarias,septuagenariis,septuagenaria,septuagenariorum,septuagenariis,septuagenaria,septuagenariis
nodosus,nodosior,nodosissimus,nodose,nodosus,nodosi,nodoso,nodosum,nodoso,nodosa,nodosae,nodosae,nodosam,nodosa,nodosum,nodosi,nodoso,nodosum,nodoso,nodosi,nodosorum,nodosis,nodosos,nodosis,nodosae,nodosarum,nodosis,nodosas,nodosis,nodosa,nodosorum,nodosis,nodosa,nodosis
parthicus,parthicior,parthicissimus,parthice,parthicus,parthici,parthico,parthicum,parthico,parthica,parthicae,parthicae,parthicam,parthica,parthicum,parthici,parthico,parthicum,parthico,parthici,parthicorum,parthicis,parthicos,parthicis,parthicae,parthicarum,parthicis,parthicas,parthicis,parthica,parthicorum,parthicis,parthica,parthicis
uber,uberior,uberrimus,uber,uber,uberis,uberi,uberem,uberi,uber,uberis,uberi,uberem,uberi,uber,uberis,uberi,uber,uberi,uberes,uberum,uberibus,uberes,uberibus,uberes,uberum,uberibus,uberes,uberibus,ubera,uberum,uberibus,ubera,uberibus
memor,memorior,memorissimus,memoriter,memor,memoris,memori,memorem,memori,memor,memoris,memori,memorem,memori,memor,memoris,memori,memor,memori,memores,memorium,memoribus,memores,memoribus,memores,memorium,memoribus,memores,memoribus,memoria,memorium,memoribus,memoria,memoribus
pallidus,pallidior,pallidissimus,pallide,pallidus,pallidi,pallido,pallidum,pallido,pallida,pallidae,pallidae,pallidam,pallida,pallidum,pallidi,pallido,pallidum,pallido,pallidi,pallidorum,pallidis,pallidos,pallidis,pallidae,pallidarum,pallidis,pallidas,pallidis,pallida,pallidorum,pallidis,pallida,pallidis
dispar,disparior,disparissimus,dispariter,dispar,disparis,dispari,disparem,dispari,dispar,disparis,dispari,disparem,dispari,dispar,disparis,dispari,dispar,dispari,dispares,disparium,disparibus,dispares,disparibus,dispares,disparium,disparibus,dispares,disparibus,disparia,disparium,disparibus,disparia,disparibus
impromptus,impromptior,impromptissimus,imprompte,impromptus,imprompti,imprompto,impromptum,imprompto,imprompta,impromptae,impromptae,impromptam,imprompta,impromptum,imprompti,imprompto,impromptum,imprompto,imprompti,impromptorum,impromptis,impromptos,impromptis,impromptae,impromptarum,impromptis,impromptas,impromptis,imprompta,impromptorum,impromptis,imprompta,impromptis
Platonicus,Platonicior,Platonicissimus,Platonice,Platonicus,Platonici,Platonico,Platonicum,Platonico,Platonica,Platonicae,Platonicae,Platonicam,Platonica,Platonicum,Platonici,Platonico,Platonicum,Platonico,Platonici,Platonicorum,Platonicis,Platonicos,Platonicis,Platonicae,Platonicarum,Platonicis,Platonicas,Platonicis,Platonica,Platonicorum,Platonicis,Platonica,Platonicis
nimius,nimiior,nimiissimus,nimie,nimius,nimii,nimio,nimium,nimio,nimia,nimiae,nimiae,nimiam,nimia,nimium,nimii,nimio,nimium,nimio,nimii,nimiorum,nimiis,nimios,nimiis,nimiae,nimiarum,nimiis,nimias,nimiis,nimia,nimiorum,nimiis,nimia,nimiis
propinquus,propinquior,propinquissimus,propinque,propinquus,propinqui,propinquo,propinquum,propinquo,propinqua,propinquae,propinquae,propinquam,propinqua,propinquum,propinqui,propinquo,propinquum,propinquo,propinqui,propinquorum,propinquis,propinquos,propinquis,propinquae,propinquarum,propinquis,propinquas,propinquis,propinqua,propinquorum,propinquis,propinqua,propinquis
Lethaeus,Lethaeior,Lethaeissimus,Lethaee,Lethaeus,Lethaei,Lethaeo,Lethaeum,Lethaeo,Lethaea,Lethaeae,Lethaeae,Lethaeam,Lethaea,Lethaeum,Lethaei,Lethaeo,Lethaeum,Lethaeo,Lethaei,Lethaeorum,Lethaeis,Lethaeos,Lethaeis,Lethaeae,Lethaearum,Lethaeis,Lethaeas,Lethaeis,Lethaea,Lethaeorum,Lethaeis,Lethaea,Lethaeis
edax,edacior,edacissimus,edaciter,edax,edacis,edaci,edacem,edaci,edax,edacis,edaci,edacem,edaci,edax,edacis,edaci,edax,edaci,edaces,edacium,edacibus,edaces,edacibus,edaces,edacium,edacibus,edaces,edacibus,edacia,edacium,edacibus,edacia,edacibus
indus,indior,indissimus,inde,indus,indi,indo,indum,indo,inda,indae,indae,indam,inda,indum,indi,indo,indum,indo,indi,indorum,indis,indos,indis,indae,indarum,indis,indas,indis,inda,indorum,indis,inda,indis
germanicus,germanicior,germanicissimus,germanice,germanicus,germanici,germanico,germanicum,germanico,germanica,germanicae,germanicae,germanicam,germanica,germanicum,germanici,germanico,germanicum,germanico,germanici,germanicorum,germanicis,germanicos,germanicis,germanicae,germanicarum,germanicis,germanicas,germanicis,germanica,germanicorum,germanicis,germanica,germanicis
sativus,sativior,sativissimus,sative,sativus,sativi,sativo,sativum,sativo,sativa,sativae,sativae,sativam,sativa,sativum,sativi,sativo,sativum,sativo,sativi,sativorum,sativis,sativos,sativis,sativae,sativarum,sativis,sativas,sativis,sativa,sativorum,sativis,sativa,sativis
Thrax,Thracior,Thracissimus,Thraciter,Thrax,Thracis,Thraci,Thracem,Thraci,Thrax,Thracis,Thraci,Thracem,Thraci,Thrax,Thracis,Thraci,Thrax,Thraci,Thraces,Thracium,Thracibus,Thraces,Thracibus,Thraces,Thracium,Thracibus,Thraces,Thracibus,Thracia,Thracium,Thracibus,Thracia,Thracibus
nullus,nullior,nullissimus,nulle,nullus,nullius,nulli,nullum,nullo,nulla,nullius,nulli,nullam,nulla,nullum,nullius,nulli,nullum,nullo,nulli,nullorum,nullis,nullos,nullis,nullae,nullarum,nullis,nullas,nullis,nulla,nullorum,nullis,nulla,nullis
japonicus,japonicior,japonicissimus,japonice,japonicus,japonici,japonico,japonicum,japonico,japonica,japonicae,japonicae,japonicam,japonica,japonicum,japonici,japonico,japonicum,japonico,japonici,japonicorum,japonicis,japonicos,japonicis,japonicae,japonicarum,japonicis,japonicas,japonicis,japonica,japonicorum,japonicis,japonica,japonicis
sordidus,sordidior,sordidissimus,sordide,sordidus,sordidi,sordido,sordidum,sordido,sordida,sordidae,sordidae,sordidam,sordida,sordidum,sordidi,sordido,sordidum,sordido,sordidi,sordidorum,sordidis,sordidos,sordidis,sordidae,sordidarum,sordidis,sordidas,sordidis,sordida,sordidorum,sordidis,sordida,sordidis
putridus,putridior,putridissimus,putride,putridus,putridi,putrido,putridum,putrido,putrida,putridae,putridae,putridam,putrida,putridum,putridi,putrido,putridum,putrido,putridi,putridorum,putridis,putridos,putridis,putridae,putridarum,putridis,putridas,putridis,putrida,putridorum,putridis,putrida,putridis
fuscus,fuscior,fuscissimus,fusce,fuscus,fusci,fusco,fuscum,fusco,fusca,fuscae,fuscae,fuscam,fusca,fuscum,fusci,fusco,fuscum,fusco,fusci,fuscorum,fuscis,fuscos,fuscis,fuscae,fuscarum,fuscis,fuscas,fuscis,fusca,fuscorum,fuscis,fusca,fuscis
sudorifer,sudoriferior,sudoriferrimus,sudorifere,sudorifer,sudoriferi,sudorifero,sudoriferum,sudorifero,sudorifera,sudoriferae,sudoriferae,sudoriferam,sudorifera,sudoriferum,sudoriferi,sudorifero,sudoriferum,sudorifero,sudoriferi,sudoriferorum,sudoriferis,sudoriferos,sudoriferis,sudoriferae,sudoriferarum,sudoriferis,sudoriferas,sudoriferis,sudorifera,sudoriferorum,sudoriferis,sudorifera,sudoriferis
perpetuus,perpetuior,perpetuissimus,perpetue,perpetuus,perpetui,perpetuo,perpetuum,perpetuo,perpetua,perpetuae,perpetuae,perpetuam,perpetua,perpetuum,perpetui,perpetuo,perpetuum,perpetuo,perpetui,perpetuorum,perpetuis,perpetuos,perpetuis,perpetuae,perpetuarum,perpetuis,perpetuas,perpetuis,perpetua,perpetuorum,perpetuis,perpetua,perpetuis
salvus,salvior,salvissimus,salve,salvus,salvi,salvo,salvum,salvo,salva,salvae,salvae,salvam,salva,salvum,salvi,salvo,salvum,salvo,salvi,salvorum,salvis,salvos,salvis,salvae,salvarum,salvis,salvas,salvis,salva,salvorum,salvis,salva,salvis
ascius,asciior,asciissimus,ascie,ascius,ascii,ascio,ascium,ascio,ascia,asciae,asciae,asciam,ascia,ascium,ascii,ascio,ascium,ascio,ascii,asciorum,asciis,ascios,asciis,asciae,asciarum,asciis,ascias,asciis,ascia,asciorum,asciis,ascia,asciis
tenuis,tenuior,tenuissimus,tenuiter,tenuis,tenuis,tenui,tenuem,tenui,tenuis,tenuis,tenui,tenuem,tenui,tenue,tenuis,tenui,tenue,tenui,tenues,tenuium,tenuibus,tenuis,tenuibus,tenues,tenuium,tenuibus,tenuis,tenuibus,tenuia,tenuium,tenuibus,tenuia,tenuibus
microcephalus,microcephalior,microcephalissimus,microcephale,microcephalus,microcephali,microcephalo,microcephalum,microcephalo,microcephala,microcephalae,microcephalae,microcephalam,microcephala,microcephalum,microcephali,microcephalo,microcephalum,microcephalo,microcephali,microcephalorum,microcephalis,microcephalos,microcephalis,microcephalae,microcephalarum,microcephalis,microcephalas,microcephalis,microcephala,microcephalorum,microcephalis,microcephala,microcephalis
dactylus,dactylior,dactylissimus,dactyle,dactylus,dactyli,dactylo,dactylum,dactylo,dactyla,dactylae,dactylae,dactylam,dactyla,dactylum,dactyli,dactylo,dactylum,dactylo,dactyli,dactylorum,dactylis,dactylos,dactylis,dactylae,dactylarum,dactylis,dactylas,dactylis,dactyla,dactylorum,dactylis,dactyla,dactylis
peltatus,peltatior,peltatissimus,peltate,peltatus,peltati,peltato,peltatum,peltato,peltata,peltatae,peltatae,peltatam,peltata,peltatum,peltati,peltato,peltatum,peltato,peltati,peltatorum,peltatis,peltatos,peltatis,peltatae,peltatarum,peltatis,peltatas,peltatis,peltata,peltatorum,peltatis,peltata,peltatis
persicus,persicior,persicissimus,persice,persicus,persici,persico,persicum,persico,persica,persicae,persicae,persicam,persica,persicum,persici,persico,persicum,persico,persici,persicorum,persicis,persicos,persicis,persicae,persicarum,persicis,persicas,persicis,persica,persicorum,persicis,persica,persicis
publicus,publicior,publicissimus,publice,publicus,publici,publico,publicum,publico,publica,publicae,publicae,publicam,publica,publicum,publici,publico,publicum,publico,publici,publicorum,publicis,publicos,publicis,publicae,publicarum,publicis,publicas,publicis,publica,publicorum,publicis,publica,publicis
benevolens,benevolentior,benevolentissimus,benevolentter,benevolens,benevolentis,benevolenti,benevolentem,benevolenti,benevolens,benevolentis,benevolenti,benevolentem,benevolenti,benevolens,benevolentis,benevolenti,benevolens,benevolenti,benevolentes,benevolentium,benevolentibus,benevolentes,benevolentibus,benevolentes,benevolentium,benevolentibus,benevolentes,benevolentibus,benevolentia,benevolentium,benevolentibus,benevolentia,benevolentibus
gentilis,gentilior,gentilissimus,gentiliter,gentilis,gentilis,gentili,gentilem,gentili,gentilis,gentilis,gentili,gentilem,gentili,gentile,gentilis,gentili,gentile,gentili,gentiles,gentilium,gentilibus,gentilis,gentilibus,gentiles,gentilium,gentilibus,gentilis,gentilibus,gentilia,gentilium,gentilibus,gentilia,gentilibus
quadruplus,quadruplior,quadruplissimus,quadruple,quadruplus,quadrupli,quadruplo,quadruplum,quadruplo,quadrupla,quadruplae,quadruplae,quadruplam,quadrupla,quadruplum,quadrupli,quadruplo,quadruplum,quadruplo,quadrupli,quadruplorum,quadruplis,quadruplos,quadruplis,quadruplae,quadruplarum,quadruplis,quadruplas,quadruplis,quadrupla,quadruplorum,quadruplis,quadrupla,quadruplis
sagittifer,sagittiferior,sagittiferrimus,sagittifere,sagittifer,sagittiferi,sagittifero,sagittiferum,sagittifero,sagittifera,sagittiferae,sagittiferae,sagittiferam,sagittifera,sagittiferum,sagittiferi,sagittifero,sagittiferum,sagittifero,sagittiferi,sagittiferorum,sagittiferis,sagittiferos,sagittiferis,sagittiferae,sagittiferarum,sagittiferis,sagittiferas,sagittiferis,sagittifera,sagittiferorum,sagittiferis,sagittifera,sagittiferis
invictus,invictior,invictissimus,invicte,invictus,invicti,invicto,invictum,invicto,invicta,invictae,invictae,invictam,invicta,invictum,invicti,invicto,invictum,invicto,invicti,invictorum,invictis,invictos,invictis,invictae,invictarum,invictis,invictas,invictis,invicta,invictorum,invictis,invicta,invictis
acherunticus,acherunticior,acherunticissimus,acheruntice,acherunticus,acheruntici,acheruntico,acherunticum,acheruntico,acheruntica,acherunticae,acherunticae,acherunticam,acheruntica,acherunticum,acheruntici,acheruntico,acherunticum,acheruntico,acheruntici,acherunticorum,acherunticis,acherunticos,acherunticis,acherunticae,acherunticarum,acherunticis,acherunticas,acherunticis,acheruntica,acherunticorum,acherunticis,acheruntica,acherunticis
acheronensis,acheronensior,acheronensissimus,acheronensiter,acheronensis,acheronensis,acheronensi,acheronensem,acheronensi,acheronensis,acheronensis,acheronensi,acheronensem,acheronensi,acheronense,acheronensis,acheronensi,acheronense,acheronensi,acheronenses,acheronensium,acheronensibus,acheronensis,acheronensibus,acheronenses,acheronensium,acheronensibus,acheronensis,acheronensibus,acheronensia,acheronensium,acheronensibus,acheronensia,acheronensibus
acheronteus,acheronteior,acheronteissimus,acherontee,acheronteus,acherontei,acheronteo,acheronteum,acheronteo,acherontea,acheronteae,acheronteae,acheronteam,acherontea,acheronteum,acherontei,acheronteo,acheronteum,acheronteo,acherontei,acheronteorum,acheronteis,acheronteos,acheronteis,acheronteae,acherontearum,acheronteis,acheronteas,acheronteis,acherontea,acheronteorum,acheronteis,acherontea,acheronteis
cibalis,cibalior,cibalissimus,cibaliter,cibalis,cibalis,cibali,cibalem,cibali,cibalis,cibalis,cibali,cibalem,cibali,cibale,cibalis,cibali,cibale,cibali,cibales,cibalium,cibalibus,cibalis,cibalibus,cibales,cibalium,cibalibus,cibalis,cibalibus,cibalia,cibalium,cibalibus,cibalia,cibalibus
barbarus,barbarior,barbarissimus,barbare,barbarus,barbari,barbaro,barbarum,barbaro,barbara,barbarae,barbarae,barbaram,barbara,barbarum,barbari,barbaro,barbarum,barbaro,barbari,barbarorum,barbaris,barbaros,barbaris,barbarae,barbararum,barbaris,barbaras,barbaris,barbara,barbarorum,barbaris,barbara,barbaris
ablativus,ablativior,ablativissimus,ablative,ablativus,ablativi,ablativo,ablativum,ablativo,ablativa,ablativae,ablativae,ablativam,ablativa,ablativum,ablativi,ablativo,ablativum,ablativo,ablativi,ablativorum,ablativis,ablativos,ablativis,ablativae,ablativarum,ablativis,ablativas,ablativis,ablativa,ablativorum,ablativis,ablativa,ablativis
duracinus,duracinior,duracinissimus,duracine,duracinus,duracini,duracino,duracinum,duracino,duracina,duracinae,duracinae,duracinam,duracina,duracinum,duracini,duracino,duracinum,duracino,duracini,duracinorum,duracinis,duracinos,duracinis,duracinae,duracinarum,duracinis,duracinas,duracinis,duracina,duracinorum,duracinis,duracina,duracinis
tridens,tridentior,tridentissimus,tridentter,tridens,tridentis,tridenti,tridentem,tridenti,tridens,tridentis,tridenti,tridentem,tridenti,tridens,tridentis,tridenti,tridens,tridenti,tridentes,tridentium,tridentibus,tridentes,tridentibus,tridentes,tridentium,tridentibus,tridentes,tridentibus,tridentia,tridentium,tridentibus,tridentia,tridentibus
insularis,insularior,insularissimus,insulariter,insularis,insularis,insulari,insularem,insulari,insularis,insularis,insulari,insularem,insulari,insulare,insularis,insulari,insulare,insulari,insulares,insularium,insularibus,insularis,insularibus,insulares,insularium,insularibus,insularis,insularibus,insularia,insularium,insularibus,insularia,insularibus
insulosus,insulosior,insulosissimus,insulose,insulosus,insulosi,insuloso,insulosum,insuloso,insulosa,insulosae,insulosae,insulosam,insulosa,insulosum,insulosi,insuloso,insulosum,insuloso,insulosi,insulosorum,insulosis,insulosos,insulosis,insulosae,insulosarum,insulosis,insulosas,insulosis,insulosa,insulosorum,insulosis,insulosa,insulosis
insulanus,insulanior,insulanissimus,insulane,insulanus,insulani,insulano,insulanum,insulano,insulana,insulanae,insulanae,insulanam,insulana,insulanum,insulani,insulano,insulanum,insulano,insulani,insulanorum,insulanis,insulanos,insulanis,insulanae,insulanarum,insulanis,insulanas,insulanis,insulana,insulanorum,insulanis,insulana,insulanis
insulensis,insulensior,insulensissimus,insulensiter,insulensis,insulensis,insulensi,insulensem,insulensi,insulensis,insulensis,insulensi,insulensem,insulensi,insulense,insulensis,insulensi,insulense,insulensi,insulenses,insulensium,insulensibus,insulensis,insulensibus,insulenses,insulensium,insulensibus,insulensis,insulensibus,insulensia,insulensium,insulensibus,insulensia,insulensibus
Fabius,Fabiior,Fabiissimus,Fabie,Fabius,Fabii,Fabio,Fabium,Fabio,Fabia,Fabiae,Fabiae,Fabiam,Fabia,Fabium,Fabii,Fabio,Fabium,Fabio,Fabii,Fabiorum,Fabiis,Fabios,Fabiis,Fabiae,Fabiarum,Fabiis,Fabias,Fabiis,Fabia,Fabiorum,Fabiis,Fabia,Fabiis
forensis,forensior,forensissimus,forensiter,forensis,forensis,forensi,forensem,forensi,forensis,forensis,forensi,forensem,forensi,forense,forensis,forensi,forense,forensi,forenses,forensium,forensibus,forensis,forensibus,forenses,forensium,forensibus,forensis,forensibus,forensia,forensium,forensibus,forensia,forensibus
deses,desidior,desidissimus,desiditer,deses,desidis,desidi,desidem,desidi,deses,desidis,desidi,desidem,desidi,deses,desidis,desidi,deses,desidi,desides,desidium,desidibus,desides,desidibus,desides,desidium,desidibus,desides,desidibus,desidia,desidium,desidibus,desidia,desidibus
paganus,paganior,paganissimus,pagane,paganus,pagani,pagano,paganum,pagano,pagana,paganae,paganae,paganam,pagana,paganum,pagani,pagano,paganum,pagano,pagani,paganorum,paganis,paganos,paganis,paganae,paganarum,paganis,paganas,paganis,pagana,paganorum,paganis,pagana,paganis
lacerabilis,lacerabilior,lacerabilissimus,lacerabiliter,lacerabilis,lacerabilis,lacerabili,lacerabilem,lacerabili,lacerabilis,lacerabilis,lacerabili,lacerabilem,lacerabili,lacerabile,lacerabilis,lacerabili,lacerabile,lacerabili,lacerabiles,lacerabilium,lacerabilibus,lacerabilis,lacerabilibus,lacerabiles,lacerabilium,lacerabilibus,lacerabilis,lacerabilibus,lacerabilia,lacerabilium,lacerabilibus,lacerabilia,lacerabilibus
lacrimabilis,lacrimabilior,lacrimabilissimus,lacrimabiliter,lacrimabilis,lacrimabilis,lacrimabili,lacrimabilem,lacrimabili,lacrimabilis,lacrimabilis,lacrimabili,lacrimabilem,lacrimabili,lacrimabile,lacrimabilis,lacrimabili,lacrimabile,lacrimabili,lacrimabiles,lacrimabilium,lacrimabilibus,lacrimabilis,lacrimabilibus,lacrimabiles,lacrimabilium,lacrimabilibus,lacrimabilis,lacrimabilibus,lacrimabilia,lacrimabilium,lacrimabilibus,lacrimabilia,lacrimabilibus
lacrimabundus,lacrimabundior,lacrimabundissimus,lacrimabunde,lacrimabundus,lacrimabundi,lacrimabundo,lacrimabundum,lacrimabundo,lacrimabunda,lacrimabundae,lacrimabundae,lacrimabundam,lacrimabunda,lacrimabundum,lacrimabundi,lacrimabundo,lacrimabundum,lacrimabundo,lacrimabundi,lacrimabundorum,lacrimabundis,lacrimabundos,lacrimabundis,lacrimabundae,lacrimabundarum,lacrimabundis,lacrimabundas,lacrimabundis,lacrimabunda,lacrimabundorum,lacrimabundis,lacrimabunda,lacrimabundis
lacrimosus,lacrimosior,lacrimosissimus,lacrimose,lacrimosus,lacrimosi,lacrimoso,lacrimosum,lacrimoso,lacrimosa,lacrimosae,lacrimosae,lacrimosam,lacrimosa,lacrimosum,lacrimosi,lacrimoso,lacrimosum,lacrimoso,lacrimosi,lacrimosorum,lacrimosis,lacrimosos,lacrimosis,lacrimosae,lacrimosarum,lacrimosis,lacrimosas,lacrimosis,lacrimosa,lacrimosorum,lacrimosis,lacrimosa,lacrimosis
lapidaris,lapidarior,lapidarissimus,lapidariter,lapidaris,lapidaris,lapidari,lapidarem,lapidari,lapidaris,lapidaris,lapidari,lapidarem,lapidari,lapidare,lapidaris,lapidari,lapidare,lapidari,lapidares,lapidarium,lapidaribus,lapidaris,lapidaribus,lapidares,lapidarium,lapidaribus,lapidaris,lapidaribus,lapidaria,lapidarium,lapidaribus,lapidaria,lapidaribus
lassus,lassior,lassissimus,lasse,lassus,lassi,lasso,lassum,lasso,lassa,lassae,lassae,lassam,lassa,lassum,lassi,lasso,lassum,lasso,lassi,lassorum,lassis,lassos,lassis,lassae,lassarum,lassis,lassas,lassis,lassa,lassorum,lassis,lassa,lassis
miscellus,miscellior,miscellissimus,miscelle,miscellus,miscelli,miscello,miscellum,miscello,miscella,miscellae,miscellae,miscellam,miscella,miscellum,miscelli,miscello,miscellum,miscello,miscelli,miscellorum,miscellis,miscellos,miscellis,miscellae,miscellarum,miscellis,miscellas,miscellis,miscella,miscellorum,miscellis,miscella,miscellis
litiger,litigerior,litigerrimus,litigere,litiger,litigeri,litigero,litigerum,litigero,litigera,litigerae,litigerae,litigeram,litigera,litigerum,litigeri,litigero,litigerum,litigero,litigeri,litigerorum,litigeris,litigeros,litigeris,litigerae,litigerarum,litigeris,litigeras,litigeris,litigera,litigerorum,litigeris,litigera,litigeris
minutus,minutior,minutissimus,minute,minutus,minuti,minuto,minutum,minuto,minuta,minutae,minutae,minutam,minuta,minutum,minuti,minuto,minutum,minuto,minuti,minutorum,minutis,minutos,minutis,minutae,minutarum,minutis,minutas,minutis,minuta,minutorum,minutis,minuta,minutis
strutheus,strutheior,strutheissimus,struthee,strutheus,struthei,strutheo,strutheum,strutheo,struthea,strutheae,strutheae,strutheam,struthea,strutheum,struthei,strutheo,strutheum,strutheo,struthei,strutheorum,strutheis,strutheos,strutheis,strutheae,struthearum,strutheis,strutheas,strutheis,struthea,strutheorum,strutheis,struthea,strutheis
naviger,navigerior,navigerrimus,navigere,naviger,navigeri,navigero,navigerum,navigero,navigera,navigerae,navigerae,navigeram,navigera,navigerum,navigeri,navigero,navigerum,navigero,navigeri,navigerorum,navigeris,navigeros,navigeris,navigerae,navigerarum,navigeris,navigeras,navigeris,navigera,navigerorum,navigeris,navigera,navigeris
navus,navior,navissimus,naviter,navus,navi,navo,navum,navo,nava,navae,navae,navam,nava,navum,navi,navo,navum,navo,navi,navorum,navis,navos,navis,navae,navarum,navis,navas,navis,nava,navorum,navis,nava,navis
vivus,vivior,vivissimus,vive,vivus,vivi,vivo,vivum,vivo,viva,vivae,vivae,vivam,viva,vivum,vivi,vivo,vivum,vivo,vivi,vivorum,vivis,vivos,vivis,vivae,vivarum,vivis,vivas,vivis,viva,vivorum,vivis,viva,vivis
garrulus,garrulior,garrulissimus,garrule,garrulus,garruli,garrulo,garrulum,garrulo,garrula,garrulae,garrulae,garrulam,garrula,garrulum,garruli,garrulo,garrulum,garrulo,garruli,garrulorum,garrulis,garrulos,garrulis,garrulae,garrularum,garrulis,garrulas,garrulis,garrula,garrulorum,garrulis,garrula,garrulis
urbanus,urbanior,urbanissimus,urbane,urbanus,urbani,urbano,urbanum,urbano,urbana,urbanae,urbanae,urbanam,urbana,urbanum,urbani,urbano,urbanum,urbano,urbani,urbanorum,urbanis,urbanos,urbanis,urbanae,urbanarum,urbanis,urbanas,urbanis,urbana,urbanorum,urbanis,urbana,urbanis
primoris,primorior,primorissimus,primoriter,primoris,primoris,primori,primorem,primori,primoris,primoris,primori,primorem,primori,primore,primoris,primori,primore,primori,primores,primorium,primoribus,primoris,primoribus,primores,primorium,primoribus,primoris,primoribus,primoria,primorium,primoribus,primoria,primoribus
